# Directed graph (each unordered pair of nodes is saved once): web-Google.txt 
# Webgraph from the Google programming contest, 2002
# Nodes: 875713 Edges: 5105039
# FromNodeId	ToNodeId
462435	581609
462435	597621
462435	644135
462435	858904
472889	2
472889	30957
472889	357310
472889	423174
472889	430119
472889	462435
472889	565424
472889	581609
472889	597621
472889	644135
472889	858904
565424	2
565424	30957
565424	357310
565424	423174
565424	430119
565424	462435
565424	472889
565424	581609
565424	597621
565424	644135
565424	723893
565424	828769
565424	858904
581609	2
581609	30957
581609	357310
581609	423174
581609	430119
581609	462435
581609	472889
581609	565424
581609	597621
581609	644135
581609	858904
581609	908276
597621	2937
597621	89958
597621	107219
597621	137136
597621	163524
597621	178815
597621	190733
597621	206688
597621	397349
597621	518625
597621	564202
597621	564998
597621	654863
597621	660384
597621	718679
597621	727948
597621	729403
597621	769429
597621	783319
597621	857417
597621	888289
597621	895278
644135	2
644135	10245
644135	30957
644135	136144
644135	357310
644135	396205
644135	423174
644135	430119
644135	462435
644135	472889
644135	565424
644135	581609
644135	597621
644135	738649
644135	747569
644135	858904
644135	863279
644135	907005
858904	2
858904	30957
858904	357310
858904	423174
858904	430119
858904	462435
858904	472889
858904	565424
858904	581609
858904	597621
858904	644135
4	44695
4	62391
4	79146
4	173976
4	670449
4	746182
4	795253
44695	4
44695	62391
44695	79146
44695	173976
44695	670449
44695	746182
44695	795253
62391	4
62391	44695
62391	79146
62391	103137
62391	173976
62391	670449
62391	746182
62391	795253
79146	4
79146	44695
79146	62391
79146	173976
79146	670449
79146	746182
79146	795253
173976	33210
173976	72960
173976	75753
173976	91681
173976	109681
173976	124446
173976	139972
173976	268108
173976	302178
173976	412196
173976	412198
173976	438091
173976	464936
173976	525525
173976	550473
173976	600077
173976	609886
173976	653863
173976	680677
173976	715102
173976	778296
173976	782447
173976	836461
173976	845467
173976	900126
173976	904600
670449	52105
670449	79146
670449	85196
670449	130331
670449	140825
670449	149560
670449	173976
670449	240511
670449	242328
670449	338481
670449	425899
670449	432806
670449	449833
670449	531289
670449	560895
670449	582139
670449	682408
670449	722051
670449	740954
670449	904600
746182	4
746182	44695
746182	62391
746182	79146
746182	173976
746182	670449
746182	795253
795253	4
795253	44695
795253	62391
795253	79146
795253	173976
795253	670449
795253	746182
5	39733
5	219773
5	300279
5	535142
5	579655
5	581741
5	608321
39733	15455
39733	82098
39733	109781
39733	173876
39733	300279
39733	332494
39733	407045
39733	477876
39733	477995
39733	518248
39733	579655
39733	581741
39733	597093
39733	645048
39733	646184
39733	672011
39733	795442
39733	902658
219773	39733
219773	300279
219773	579655
219773	581741
300279	39733
300279	86022
300279	141417
300279	145948
300279	427986
300279	574208
300279	579655
300279	581741
300279	619985
300279	696574
300279	701345
300279	749671
535142	39733
535142	300279
535142	579655
535142	581741
579655	39733
579655	81548
579655	133180
579655	176209
579655	286930
579655	300279
579655	574208
579655	581741
579655	582223
579655	691579
579655	873984
581741	39733
581741	219773
581741	300279
581741	579655
581741	608321
608321	5
608321	39733
608321	300279
608321	579655
608321	581741
6	119755
6	188708
6	668992
119755	177631
188708	119755
188708	668992
668992	546100
7	19576
7	43343
7	57818
7	75039
7	86833
7	174836
7	226374
7	230497
7	358176
7	487767
7	507854
7	514170
7	694921
7	743269
7	747035
7	877041
19576	9925
19576	40379
19576	43343
19576	57818
19576	158986
19576	174836
19576	226374
19576	231693
19576	358176
19576	415477
19576	487767
19576	514170
19576	577373
19576	599294
19576	749880
19576	803181
19576	877041
43343	19576
43343	75039
43343	158986
43343	226374
43343	358176
43343	439749
43343	487767
43343	514170
43343	803181
43343	877041
43343	880805
57818	19576
57818	43343
57818	226374
57818	358176
57818	487767
57818	514170
57818	877041
75039	19576
75039	43343
75039	226374
75039	358176
75039	487767
75039	514170
75039	877041
86833	19576
86833	43343
86833	75039
86833	226374
86833	358176
86833	487767
86833	514170
86833	866520
86833	877041
174836	226374
174836	507854
174836	877041
226374	13593
226374	17517
226374	39916
226374	43911
226374	46123
226374	61510
226374	64308
226374	107295
226374	109447
226374	160614
226374	167833
226374	173772
226374	227011
226374	305428
226374	357845
226374	429246
226374	452090
226374	494555
226374	514471
226374	539784
226374	571440
226374	621443
226374	637227
226374	707223
226374	780880
226374	801318
226374	833263
226374	858446
230497	19576
230497	43343
230497	206575
230497	226374
230497	280521
230497	358176
230497	487767
230497	514170
230497	877041
358176	19576
358176	43343
358176	168798
358176	206575
358176	226374
358176	338360
358176	487767
358176	514170
358176	577373
358176	877041
487767	7
487767	19576
487767	43343
487767	226374
487767	280521
487767	358176
487767	514170
487767	694921
487767	803181
487767	877041
507854	388802
507854	514170
514170	19576
514170	43343
514170	226374
514170	358176
514170	487767
514170	877041
694921	7
694921	9925
694921	19576
694921	43343
694921	57818
694921	226374
694921	231693
694921	255894
694921	358176
694921	487767
694921	514170
694921	552180
694921	659005
694921	749880
694921	877041
743269	124664
743269	247520
743269	343884
743269	359790
743269	477779
743269	824952
747035	19576
747035	43343
747035	226374
747035	358176
747035	415477
747035	487767
747035	514170
747035	599294
747035	877041
877041	19576
877041	43343
877041	75039
877041	226374
877041	358176
877041	487767
877041	514170
877041	880805
8	55948
8	846855
55948	666882
846855	55948
846855	139221
846855	331202
846855	333064
846855	418074
846855	636166
846855	704230
846855	734611
846855	776489
846855	807179
846855	808449
846855	880924
846855	882714
9	504263
9	704303
9	721062
9	780043
504263	31180
704303	74718
704303	95866
704303	227153
704303	254344
704303	735251
704303	811853
721062	9262
721062	254657
721062	310299
721062	590539
721062	854813
780043	189159
780043	247201
780043	259179
780043	544239
780043	547992
780043	761184
780043	778409
780043	795791
780043	804192
10	49988
10	85506
10	129774
10	134964
10	181848
10	194746
10	310676
10	332640
10	393685
10	556796
10	826668
49988	10
49988	134964
49988	181848
49988	310676
49988	393685
49988	556796
85506	10
85506	181848
85506	310676
85506	393685
85506	507927
85506	556796
129774	48495
129774	94430
129774	100774
129774	109252
129774	284798
129774	390902
129774	507927
129774	509884
129774	812141
129774	838973
129774	865548
129774	869311
129774	875821
134964	10
134964	181848
134964	310676
134964	393685
134964	556796
181848	10
181848	85506
181848	194746
181848	310676
181848	393685
181848	556796
194746	10
194746	181848
194746	310676
194746	393685
194746	556796
310676	10
310676	134964
310676	181848
310676	393685
310676	556796
332640	10
332640	181848
332640	310676
332640	393685
332640	556796
393685	10
393685	181848
393685	310676
393685	332640
393685	556796
556796	10
556796	181848
556796	310676
556796	393685
826668	10
826668	181848
826668	310676
826668	393685
826668	556796
11	42021
11	75364
11	105322
11	160306
11	216203
11	280605
11	360442
11	400675
11	579432
11	852008
11	881590
42021	75364
42021	105322
42021	160306
42021	216203
42021	360442
42021	400675
42021	579432
75364	11
75364	42021
75364	105322
75364	160306
75364	216203
75364	294679
75364	360442
75364	400675
75364	579432
75364	750725
75364	765552
75364	852008
105322	42021
105322	50086
105322	75364
105322	95579
105322	111099
105322	160306
105322	216203
105322	360442
105322	400675
105322	504448
105322	579432
160306	42021
160306	75364
160306	95579
160306	216203
160306	360442
160306	400675
160306	579432
216203	10897
216203	42021
216203	105322
216203	160306
216203	224748
216203	360442
216203	389370
216203	400675
216203	514281
216203	579432
216203	622656
280605	42021
280605	75364
280605	105322
280605	160306
280605	216203
280605	360442
280605	400675
280605	579432
360442	10897
360442	42021
360442	105322
360442	160306
360442	216203
360442	400675
360442	415575
360442	579432
360442	615274
360442	622656
360442	807165
360442	888384
400675	42021
400675	75364
400675	105322
400675	160306
400675	172589
400675	216203
400675	360442
400675	416440
400675	579432
400675	606871
400675	696657
400675	752898
400675	757363
400675	902793
579432	42021
